Date,Close
30-07-2021,295.96557506055825
02-08-2021,296.4304846999573
03-08-2021,298.5260185809505
04-08-2021,298.3738225195962
05-08-2021,298.57171830011254
06-08-2021,297.8235078707375
09-08-2021,297.14746331865155
10-08-2021,298.0492664112208
11-08-2021,297.3586971839993
12-08-2021,300.99126959195996
13-08-2021,302.37736816160043
16-08-2021,303.1766087489784
17-08-2021,305.73590818215706
18-08-2021,301.17577767184224
19-08-2021,299.21441667720995
20-08-2021,300.3689939035323
23-08-2021,303.5704322250897
24-08-2021,305.4044199346175
25-08-2021,302.6868771480579
26-08-2021,301.6919188996907
27-08-2021,301.0113285722103
30-08-2021,308.7631193331609
31-08-2021,308.43596852839846
01-09-2021,312.81590948095675
02-09-2021,311.93498066878396
03-09-2021,312.7178697928863
07-09-2021,317.18353104374245
08-09-2021,314.81417240799425
09-09-2021,314.61919115636493
10-09-2021,307.3274399622357
