Date,Close
30-07-2021,296.01557506055826
02-08-2021,296.64253138704686
03-08-2021,299.45839662392336
04-08-2021,298.67697768619485
05-08-2021,298.71683702048915
06-08-2021,297.5519444439094
09-08-2021,296.75177903876187
10-08-2021,298.269677946372
11-08-2021,297.1944919630965
12-08-2021,302.38830345262954
13-08-2021,303.51384757620053
16-08-2021,303.87917553226936
17-08-2021,306.9772362201271
18-08-2021,299.77717298246165
19-08-2021,297.77078722620126
20-08-2021,300.32447299541843
23-08-2021,304.95118769624
24-08-2021,306.7244322074837
25-08-2021,302.0369911062339
26-08-2021,300.93210726983324
27-08-2021,300.45407052744133
30-08-2021,311.7332144475506
31-08-2021,309.5487722830186
01-09-2021,314.86983489574527
02-09-2021,312.31559703510356
03-09-2021,313.05620701262905
07-09-2021,319.09022547603985
08-09-2021,314.6033245182856
09-09-2021,314.3370232909162
10-09-2021,304.2506237215316
