Date,Close
30-07-2021,295.96557506055825
02-08-2021,296.48214132655716
03-08-2021,298.75885567883864
04-08-2021,298.3569118461124
05-08-2021,298.5937067201699
06-08-2021,297.74037337858476
09-08-2021,297.07234725730865
10-08-2021,298.1494667548396
11-08-2021,297.2819672698636
12-08-2021,301.3948887484
13-08-2021,302.5313791137827
16-08-2021,303.26541325868715
17-08-2021,306.0202747858435
18-08-2021,300.6690965040295
19-08-2021,298.99648767780633
20-08-2021,300.49728026201257
23-08-2021,303.9261475941516
24-08-2021,305.60819634678734
25-08-2021,302.38492794955124
26-08-2021,301.58136798320544
27-08-2021,300.93570742471246
30-08-2021,309.6244294177109
31-08-2021,308.39961843898044
01-09-2021,313.30256958679655
02-09-2021,311.8370996896536
03-09-2021,312.8048574733421
07-09-2021,317.67971562717094
08-09-2021,314.55091033735556
09-09-2021,314.59752657285054
10-09-2021,306.51724538511024
